Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002789,Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,N
LP002739,Male,Yes,0,Not Graduate,No,2917,536,66,360,1,Rural,N
LP002487,Male,Yes,0,Graduate,No,3015,2188,153,360,1,Rural,Y
LP001904,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,Y
LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
LP002110,Male,Yes,1,Graduate,,5250,688,160,360,1,Rural,Y
LP002161,Female,No,1,Graduate,No,4723,0,81,360,1,Semiurban,N
LP002505,Male,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
LP002265,Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,Y
LP002408,Male,No,0,Graduate,No,3660,5064,187,360,1,Semiurban,Y
LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
LP001255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
LP002201,Male,Yes,2,Graduate,Yes,9323,7873,380,300,1,Rural,Y
LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
LP002409,Male,Yes,0,Graduate,No,7901,1833,180,360,1,Rural,Y
LP002683,Male,No,0,Graduate,No,4683,1915,185,360,1,Semiurban,N
LP002537,Male,Yes,0,Graduate,No,2083,3150,128,360,1,Semiurban,Y
LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
LP002455,Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,Y
LP002386,Male,No,0,Graduate,,12876,0,405,360,1,Semiurban,Y
LP002705,Male,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,Y
LP002640,Male,Yes,1,Graduate,No,6065,2004,250,360,1,Semiurban,Y
LP002541,Male,Yes,0,Graduate,No,10833,0,234,360,1,Semiurban,Y
LP002067,Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,N
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
LP002958,Male,No,0,Graduate,No,3676,4301,172,360,1,Rural,Y
LP001914,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Y
LP001097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
LP001387,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y
LP002531,Male,Yes,1,Graduate,Yes,16667,2250,86,360,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
LP002435,Male,Yes,0,Graduate,,3539,1376,55,360,1,Rural,N
LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y
LP001398,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y
LP002974,Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,Y
LP001954,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y
LP002820,Male,Yes,0,Graduate,No,5923,2054,211,360,1,Rural,Y
LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
LP001947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,Y
LP002112,Male,Yes,2,Graduate,Yes,2500,4600,176,360,1,Rural,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
LP002529,Male,Yes,2,Graduate,No,6700,1750,230,300,1,Semiurban,Y
LP002387,Male,Yes,0,Graduate,No,2425,2340,143,360,1,Semiurban,Y
LP001935,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Y
LP002990,Female,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,N
LP002175,Male,Yes,0,Graduate,No,4750,2333,130,360,1,Urban,Y
LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
LP002341,Female,No,1,Graduate,No,2600,0,160,360,1,Urban,N
LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y
LP002804,Female,Yes,0,Graduate,No,4180,2306,182,360,1,Semiurban,Y
LP001978,Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,Y
LP002603,Female,No,0,Graduate,No,645,3683,113,480,1,Rural,Y
LP001870,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N
LP002778,Male,Yes,2,Graduate,Yes,6633,0,,360,0,Rural,N
LP002959,Female,Yes,1,Graduate,No,12000,0,496,360,1,Semiurban,Y
LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N
LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y
LP002277,Female,No,0,Graduate,No,3180,0,71,360,0,Urban,N
LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
LP001732,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N
LP002243,Male,Yes,0,Not Graduate,No,3010,3136,,360,0,Urban,N
LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y
LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
LP002777,Male,Yes,0,Graduate,No,2785,2016,110,360,1,Rural,Y
LP002874,Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,Y
LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y
LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
LP001038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
LP002379,Male,No,0,Graduate,No,6500,0,105,360,0,Rural,N
LP001002,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
LP002377,Female,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,Y
LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
LP002119,Male,Yes,1,Not Graduate,No,4554,1229,158,360,1,Urban,Y
LP002938,Male,Yes,0,Graduate,Yes,16120,0,260,360,1,Urban,Y
LP002931,Male,Yes,2,Graduate,Yes,6000,0,205,240,1,Semiurban,N
LP002197,Male,Yes,2,Graduate,No,5185,0,155,360,1,Semiurban,Y
LP002690,Male,No,0,Graduate,No,2500,0,55,360,1,Semiurban,Y
LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
LP002281,Male,Yes,0,Graduate,No,3033,1459,95,360,1,Urban,Y
LP001994,Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,N
LP002928,Male,Yes,0,Graduate,No,3000,3416,56,180,1,Semiurban,Y
LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
LP001644,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
LP002190,Male,Yes,1,Graduate,No,6325,0,175,360,1,Semiurban,Y
LP002807,Male,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,Y
LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
LP001974,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y
LP001868,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y
LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
LP002716,Male,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,Y
LP002945,Male,Yes,0,Graduate,Yes,9963,0,180,360,1,Rural,Y
LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
LP002116,Female,No,0,Graduate,No,2378,0,46,360,1,Rural,N
LP002699,Male,Yes,2,Graduate,Yes,17500,0,400,360,1,Rural,Y
LP002555,Male,Yes,2,Graduate,Yes,4583,2083,160,360,1,Semiurban,Y
LP002370,Male,No,0,Not Graduate,No,2717,0,60,180,1,Urban,Y
LP002429,Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,Y
LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
LP002916,Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,Y
LP002128,Male,Yes,2,Graduate,,2583,2330,125,360,1,Rural,Y
LP002731,Female,No,0,Not Graduate,Yes,18165,0,125,360,1,Urban,Y
LP002140,Male,No,0,Graduate,No,8750,4167,308,360,1,Rural,N
LP002960,Male,Yes,0,Not Graduate,No,2400,3800,,180,1,Urban,N
LP002305,Female,No,0,Graduate,No,4547,0,115,360,1,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
LP002917,Female,No,0,Not Graduate,No,2165,0,70,360,1,Semiurban,Y
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,Y
LP001925,Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,N
LP002131,Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,Y
LP001924,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,Y
LP001449,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y
LP002855,Male,Yes,2,Graduate,No,16666,0,275,360,1,Urban,Y
LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
LP001922,Male,Yes,0,Graduate,No,20667,0,,360,1,Rural,N
LP002868,Male,Yes,2,Graduate,No,3159,461,108,84,1,Urban,Y
LP002984,Male,Yes,2,Graduate,No,7583,0,187,360,1,Urban,Y
LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
LP002006,Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Y
LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
LP002266,Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,Y
LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y
LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N
LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
LP001334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
LP002892,Male,Yes,2,Graduate,No,6540,0,205,360,1,Semiurban,Y
LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
LP001116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
LP002734,Male,Yes,0,Graduate,No,6133,3906,324,360,1,Urban,Y
LP002622,Male,Yes,2,Graduate,No,3510,4416,243,360,1,Rural,Y
LP001907,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,Y
LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
LP002453,Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,Y
LP001228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
LP002911,Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,N
LP002643,Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,Y
LP002619,Male,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,Y
LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
LP002626,Male,Yes,0,Graduate,Yes,2479,3013,188,360,1,Urban,Y
LP002390,Male,No,0,Graduate,No,3750,0,100,360,1,Urban,Y
LP001119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
LP002467,Male,Yes,0,Graduate,No,3708,2569,173,360,1,Urban,N
LP001938,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,N
LP002950,Male,Yes,0,Not Graduate,,2894,2792,155,360,1,Rural,Y
LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y
LP002515,Male,Yes,1,Graduate,Yes,3450,2079,162,360,1,Semiurban,Y
LP002211,Male,Yes,0,Graduate,No,4817,923,120,180,1,Urban,Y
LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
LP001996,Male,No,0,Graduate,No,20233,0,480,360,1,Rural,N
LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,N
LP001581,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y
LP001086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y
LP001859,Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,N
LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
LP002226,Male,Yes,0,Graduate,,3333,2500,128,360,1,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
LP001883,Female,No,0,Graduate,,3418,0,135,360,1,Rural,N
LP002792,Male,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,Y
LP002706,Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,Y
LP002328,Male,Yes,0,Not Graduate,No,6096,0,218,360,0,Rural,N
LP001931,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y
LP001894,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,Y
LP001233,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
LP002840,Female,No,0,Graduate,No,2378,0,9,360,1,Urban,N
LP002545,Male,No,2,Graduate,No,3547,0,80,360,0,Rural,N
LP002473,Male,Yes,0,Graduate,No,8334,0,160,360,1,Semiurban,N
LP002925,,No,0,Graduate,No,4750,0,94,360,1,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y
LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
LP002142,Female,Yes,0,Graduate,Yes,5500,0,105,360,0,Rural,N
LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
LP002493,Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
LP002723,Male,No,2,Graduate,No,3588,0,110,360,0,Rural,N
LP001225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
LP002335,Female,Yes,0,Not Graduate,No,2149,3237,178,360,0,Semiurban,N
LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,Urban,N
LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Y
LP002398,Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,Y
LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y
LP002615,Male,Yes,2,Graduate,No,4865,5624,208,360,1,Semiurban,Y
LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
LP001903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,Y
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
LP002368,Male,Yes,2,Graduate,No,5935,0,133,360,1,Semiurban,Y
LP002434,Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,Y
LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
LP001421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N
LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y
LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
LP002367,Female,No,1,Not Graduate,No,4606,0,81,360,1,Rural,N
LP002893,Male,No,0,Graduate,No,1836,33837,90,360,1,Urban,N
LP001027,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
LP002114,Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,Y
LP001430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
LP001875,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y
LP001963,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N
LP001241,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
LP002231,Female,No,0,Graduate,No,6000,0,156,360,1,Urban,Y
LP002517,Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,Rural,N
LP002449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,Y
LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
LP002784,Male,Yes,1,Not Graduate,No,2492,2375,,360,1,Rural,Y
LP001050,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
LP002753,Female,No,1,Graduate,,3652,0,95,360,1,Semiurban,Y
LP002347,Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,Y
LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
LP001836,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N
LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
LP002097,Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Y
LP002961,Male,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
LP002743,Female,No,0,Graduate,No,2138,0,99,360,0,Semiurban,N
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP001213,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N
LP002087,Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Y
LP002031,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,Y
LP002068,Male,No,0,Graduate,No,4917,0,130,360,0,Rural,Y
LP002348,Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,Y
LP002494,Male,No,0,Graduate,No,6000,0,140,360,1,Rural,Y
LP002308,Male,Yes,0,Not Graduate,No,2167,2400,115,360,1,Urban,Y
LP001768,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y
LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
LP002798,Male,Yes,0,Graduate,No,3887,2669,162,360,1,Semiurban,Y
LP002234,Male,No,0,Graduate,Yes,7167,0,128,360,1,Urban,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
LP002403,Male,No,0,Graduate,Yes,10416,0,187,360,0,Urban,N
LP001977,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Y
LP002936,Male,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,Y
LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N
LP001955,Female,No,0,Graduate,No,5000,2541,151,480,1,Rural,N
LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
LP002648,Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,N
LP002103,,Yes,1,Graduate,Yes,9833,1833,182,180,1,Urban,Y
LP002187,Male,No,0,Graduate,No,2500,0,96,480,1,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
LP001356,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y
LP002768,Male,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,N
LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
LP002443,Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,N
LP002534,Female,No,0,Not Graduate,No,4350,0,154,360,1,Rural,Y
LP002143,Female,Yes,0,Graduate,No,2423,505,130,360,1,Semiurban,Y
LP001546,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y
LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y
LP002101,Male,Yes,0,Graduate,,63337,0,490,180,1,Urban,Y
LP002836,Male,No,0,Graduate,No,3333,0,70,360,1,Urban,Y
LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
LP002158,Male,Yes,0,Not Graduate,No,3000,1666,100,480,0,Urban,N
LP002582,Female,No,0,Not Graduate,Yes,17263,0,225,360,1,Semiurban,Y
LP001917,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,Y
LP002489,Female,No,1,Not Graduate,,5191,0,132,360,1,Semiurban,Y
LP001087,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y
LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
LP002224,Male,No,0,Graduate,No,3069,0,71,480,1,Urban,N
LP002502,Female,Yes,2,Not Graduate,,210,2917,98,360,1,Semiurban,Y
LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
LP002366,Male,Yes,0,Graduate,No,2666,4300,121,360,1,Rural,Y
LP002250,Male,Yes,0,Graduate,No,5488,0,125,360,1,Rural,Y
LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
LP002149,Male,Yes,2,Graduate,No,8333,3167,165,360,1,Rural,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP002832,Male,Yes,2,Graduate,No,8799,0,258,360,0,Urban,N
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
LP002637,Male,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,N
LP002547,Male,Yes,1,Graduate,No,18333,0,500,360,1,Urban,N
LP002941,Male,Yes,2,Not Graduate,Yes,6383,1000,187,360,1,Rural,N
LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
LP002755,Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,Urban,Y
LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
LP002862,Male,Yes,2,Not Graduate,No,6125,1625,187,480,1,Semiurban,N
LP001892,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,Y
LP002098,Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Y
